,category_id,description,category_path
0,663,"paper straws 8"" - pack of 25 light purple stripe by retro sally",Home & Kitchen > Paper & Plastic > Cups & Straws
1,663,"IKEA Assorted Colors Smoothie Straws, Pack of 100Pieces2 Sets (200)",Home & Kitchen > Paper & Plastic > Cups & Straws
2,663,"Outside the Box Papers Peach and Mint Green Chevron Polka Dot and Striped Paper Straws 7.75 Inches 100 Pack Peach, Mint Green",Home & Kitchen > Paper & Plastic > Cups & Straws
3,663,Shopkins Cupcake Picks Set of 12,Home & Kitchen > Paper & Plastic > Cups & Straws
4,663,"100 ct. large extra wide straws for thick milkshake, smoothie etc - approx. 9"" x 0.5"" [ individually wrapped ]: frosted",Home & Kitchen > Paper & Plastic > Cups & Straws
5,663,"Dixie CP10DX WiseSize PETE Cup, 10 oz, Clear (Case 20 Packs, 25 cups per pack)",Home & Kitchen > Paper & Plastic > Cups & Straws
6,663,"dress my cupcake 12-pack vintage paper straws with glass milk bottles favors kit, light baby blue chevron",Home & Kitchen > Paper & Plastic > Cups & Straws
7,663,"creative converting paper hot/cold cups, 9-ounce., shimmering silver color, package of 24, (pack of 5)",Home & Kitchen > Paper & Plastic > Cups & Straws
8,663,plastic party cold cups 16 oz . 50 ct.,Home & Kitchen > Paper & Plastic > Cups & Straws
9,663,"party essentials 20 count soft plastic party cups, 16-ounce, clear",Home & Kitchen > Paper & Plastic > Cups & Straws
10,663,16 oz coffee cup with black dome lid 50sets- dopaco swirl,Home & Kitchen > Paper & Plastic > Cups & Straws
11,663,"Outside the Box Papers Christmas Tree Paper Straws 7.75 Inches 75 Pack Red, Green, White",Home & Kitchen > Paper & Plastic > Cups & Straws
12,663,hawaiian pineapple sipper,Home & Kitchen > Paper & Plastic > Cups & Straws
13,663,"creative converting purr-ty time hot or cold beverage cups, 8-count",Home & Kitchen > Paper & Plastic > Cups & Straws
14,663,dart 8sj20 4.2 inch top and 3 inch bottom diameter 2.1 inch height 8-ounce foam food container 50-pack (case of 20),Home & Kitchen > Paper & Plastic > Cups & Straws
15,663,"dress my cupcake 50-pack vintage paper straws, striped, grey/red",Home & Kitchen > Paper & Plastic > Cups & Straws
16,663,Solo TP16-0090 16 oz Plastic Ultra Clear Cold Drink Cup,Home & Kitchen > Paper & Plastic > Cups & Straws
17,663,16 oz. pla clear corn plastic biodegradable cold cup (pack of 500),Home & Kitchen > Paper & Plastic > Cups & Straws
18,663,"party dimensions foam cups, 6-ounce, white, 51-count",Home & Kitchen > Paper & Plastic > Cups & Straws
19,663,"Amscan Shining Season Paper Cups (50 Piece), 9 oz, Silver/White",Home & Kitchen > Paper & Plastic > Cups & Straws
20,663,"party dimensions 1 count plastic ice bucket, 4-quart, clear",Home & Kitchen > Paper & Plastic > Cups & Straws
21,663,12 Oz. CLEAR Cups with Lids for Iced Coffee Bubble Boba Tea Smoothie - 100 Sets- Plus 1 Reusable Kids CUP with,Home & Kitchen > Paper & Plastic > Cups & Straws
22,663,sipsticks paper drinking straws biodegradeable 50 pack - grey chevron,Home & Kitchen > Paper & Plastic > Cups & Straws
23,663,dixie tp9542 smart top,Home & Kitchen > Paper & Plastic > Cups & Straws
24,663,"disposable insulated ripple hot coffee paper cup with cappuccino lids, 12oz, brown, 50 count",Home & Kitchen > Paper & Plastic > Cups & Straws
25,663,Elite Selection 14 Oz. Pack Of 100 Clear Hard Plastic Tumblers/Cups,Home & Kitchen > Paper & Plastic > Cups & Straws
26,663,clear plastic party,Home & Kitchen > Paper & Plastic > Cups & Straws
27,663,solo® cup company cone,Home & Kitchen > Paper & Plastic > Cups & Straws
28,663,"solo 370si-0041 single-sided poly paper hot cup, 10 oz. capacity, bistro (case of 1,000)",Home & Kitchen > Paper & Plastic > Cups & Straws
29,663,"IKEA Soda Drinking Straws, Assorted Colors - White, Red, Green, Orange (Pack of 200) - 2 Sets",Home & Kitchen > Paper & Plastic > Cups & Straws
30,663,Amscan 459021 Spider Window Silhouette TradeMart Inc.,Home & Kitchen > Paper & Plastic > Cups & Straws
31,663,"paper eskimo baking cups with black spots, 25-pack",Home & Kitchen > Paper & Plastic > Cups & Straws
32,663,Smoke Balls - Multi-Colored (Pack Of 240),Home & Kitchen > Paper & Plastic > Cups & Straws
33,663,500 - Disposable Plastic Power Bomber Shot Cups or Bomb Glasses,Home & Kitchen > Paper & Plastic > Cups & Straws
34,663,"aardvark paper straws unwrapped jumbo straw, 7.75-inch, red and white striped, 50/pkg",Home & Kitchen > Paper & Plastic > Cups & Straws
35,663,100 sets 20 oz plastic clear cups with flat lids for iced coffee bubble boba tea smoothie g,Home & Kitchen > Paper & Plastic > Cups & Straws
36,663,Embellish Crystal Clear Hard Plastic 5oz Dessert Cups/Tumblers 20 Count,Home & Kitchen > Paper & Plastic > Cups & Straws
37,663,pink polka dots cupcake cups,Home & Kitchen > Paper & Plastic > Cups & Straws
38,663,Embellish Crystal Clear Hard Plastic 2oz Clear Shot Glass Pack Of 200,Home & Kitchen > Paper & Plastic > Cups & Straws
39,663,"solo squared red cups, 18",Home & Kitchen > Paper & Plastic > Cups & Straws
40,663,"Parfait Cup 2-piece, PACK of 25 Super Sips Clear Plastic 12 oz Cup and Dome Lid w/ FDL Party Picks",Home & Kitchen > Paper & Plastic > Cups & Straws
41,663,"paper eskimo baking cup, sherbert blue chevron",Home & Kitchen > Paper & Plastic > Cups & Straws
42,663,color changing reusable straws - easter fun,Home & Kitchen > Paper & Plastic > Cups & Straws
43,663,"northwest enterprises deluxe/elegance quality plastic 8-ounce coffee cups, clear, 10 count",Home & Kitchen > Paper & Plastic > Cups & Straws
44,663,"eco-products ep-st910 9.5"" jumbo clear plastic unwrapped straw (case of 4800)",Home & Kitchen > Paper & Plastic > Cups & Straws
45,663,"creative converting value pack plastic cups, 16 oz., schoolbus yellow, 50-count",Home & Kitchen > Paper & Plastic > Cups & Straws
46,663,"pink replacement acrylic straw set of 6, fits 16oz tumblers",Home & Kitchen > Paper & Plastic > Cups & Straws
47,663,perfectouch 5356cd,Home & Kitchen > Paper & Plastic > Cups & Straws
48,663,"Party Dimensions Neon 12 Count Plastic Margarita Cup, 12-Ounce",Home & Kitchen > Paper & Plastic > Cups & Straws
49,663,"dixie perfectouch grab n go hot cup, 12 ounce, 14 count",Home & Kitchen > Paper & Plastic > Cups & Straws
50,663,dixie perfectouch hot cups,Home & Kitchen > Paper & Plastic > Cups & Straws
51,663,"paper straws 8"" - pack of 50 gray stripe by retro sally",Home & Kitchen > Paper & Plastic > Cups & Straws
52,663,"party essentials n488281 120 count jello shot/gelatin syringe injectors with caps, 1.5-ounce, clear",Home & Kitchen > Paper & Plastic > Cups & Straws
53,663,GS Insulated Hot Cups Checker Design (100 Count) (10 oz),Home & Kitchen > Paper & Plastic > Cups & Straws
54,663,"50 sets 16 oz plastic clear cups with flat lids and straws!!! for iced coffee bubble boba tea smoothie with 9"" by 10mm fat straws!!! disposable",Home & Kitchen > Paper & Plastic > Cups & Straws
55,663,ultra clear 12 oz hard,Home & Kitchen > Paper & Plastic > Cups & Straws
56,663,"hanna k. signature collection 50 count plastic cup, 18-ounce, hunter green",Home & Kitchen > Paper & Plastic > Cups & Straws
57,663,"cleverdelights biodegradable paper straws, navy blue chevron, box of 100",Home & Kitchen > Paper & Plastic > Cups & Straws
58,663,"bakers and chefs cups, 18-ounce, red",Home & Kitchen > Paper & Plastic > Cups & Straws
59,663,shot glass ice mold with re-usable plastic serving tray (13pc. set),Home & Kitchen > Paper & Plastic > Cups & Straws
60,663,"Solo Foodservice L1624B-0100 Polystyrene Cold Drink Lid, Translucent (Pack of 2000)",Home & Kitchen > Paper & Plastic > Cups & Straws
61,663,"Amscan Big Party Pack 50 Count Plastic Cups, 12-Ounce, Bright Royal Blue",Home & Kitchen > Paper & Plastic > Cups & Straws
62,663,"Perfect Stix Snow Cone Cup Kit - 50ct Snow Cone Kit with 50 Cups, 50 Neon Straws and 50 Snow Cone Candy Spoons (Pack of 150)",Home & Kitchen > Paper & Plastic > Cups & Straws
63,663,dart 12sj20 4.2 inch top and 2.7 inch bottom diameter 3.2 inch height 12-ounce insulated squat foam container 25-pack (case of 20),Home & Kitchen > Paper & Plastic > Cups & Straws
64,663,Haobase 100PCS 3ml Disposable Plastic Graduated Transfer Pipettes,Home & Kitchen > Paper & Plastic > Cups & Straws
65,663,perfect stix neon green umbrella luau and tropical drinking straws ( pack of 48),Home & Kitchen > Paper & Plastic > Cups & Straws
66,663,1 ounce clear plastic shot,Home & Kitchen > Paper & Plastic > Cups & Straws
67,663,outside the box papers gold,Home & Kitchen > Paper & Plastic > Cups & Straws
68,663,"flexible neon straws - 9 1/2"" (100 count)",Home & Kitchen > Paper & Plastic > Cups & Straws
69,663,creative converting pink luau fun 12 count cupcake wrappers with picks,Home & Kitchen > Paper & Plastic > Cups & Straws
70,663,"reditainer - plastic disposable portion cups - the souffle cup (2 ounce, package of 100 cups with lids)",Home & Kitchen > Paper & Plastic > Cups & Straws
71,663,"paper eskimo 12-pack party cups, black tie",Home & Kitchen > Paper & Plastic > Cups & Straws
72,663,"Paper Hot Cups with Lids and Mint Green Cup Sleeves, White, 16 Oz (50 Count)",Home & Kitchen > Paper & Plastic > Cups & Straws
73,663,"Starbucks SBK1117280 Plastic Hot Cup Lids, 12 oz (Pack of 1000)",Home & Kitchen > Paper & Plastic > Cups & Straws
74,663,"dixie perfectouch 5342dx wisesize insulated paper cup, 12oz (case of 20 sleeves, 25 cups per sleeve)",Home & Kitchen > Paper & Plastic > Cups & Straws
75,663,"Set of 6 Straws + 2 Brushes — Colored Bent Glass Straws For Smoothie Milkshake, Reusable, Eco-Friendly, Shatter",Home & Kitchen > Paper & Plastic > Cups & Straws
76,663,"set of 40, 12 ounce soft plastic party cups and tumblers, assorted neon colors",Home & Kitchen > Paper & Plastic > Cups & Straws
77,663,Embellish Hard Plastic 10oz Party Tumblers/Cups 80 Count Clear,Home & Kitchen > Paper & Plastic > Cups & Straws
78,663,solo cup company solo cup,Home & Kitchen > Paper & Plastic > Cups & Straws
79,663,"Fox Run Disposable Lobster Bibs, Set of Four",Home & Kitchen > Paper & Plastic > Cups & Straws
80,663,"kikkerland biodegradable paper straws, blue and white striped, box of 144",Home & Kitchen > Paper & Plastic > Cups & Straws
81,663,"perfectouch 5338dx wisesize insulated cup, coffee dreams design, 8 oz capacity (20 packs of 25)",Home & Kitchen > Paper & Plastic > Cups & Straws
82,663,solo 100-2050 1 oz white treated paper pleated souffle portion cup (20 packs of 250 cups),Home & Kitchen > Paper & Plastic > Cups & Straws
83,663,"polar ice pi125200ct 125 count plastic jello shot cups with lids, 2-ounce",Home & Kitchen > Paper & Plastic > Cups & Straws
84,663,dl 50 sets 16 oz plastic clear cups with dome lids for iced coffee bubble boba tea smoothie g,Home & Kitchen > Paper & Plastic > Cups & Straws
85,663,Dixie PerfecTouch Grab 'N Go 16 Oz Hot Cups with Lids - 68 Count,Home & Kitchen > Paper & Plastic > Cups & Straws
86,663,solo r3-43107 medicine,Home & Kitchen > Paper & Plastic > Cups & Straws
87,663,tiki tumblers reusable,Home & Kitchen > Paper & Plastic > Cups & Straws
88,663,"Dixie P040TRANSLUC Translucent Plastic Souffle Cup, 4oz Capacity (12 Packs of 200)",Home & Kitchen > Paper & Plastic > Cups & Straws
89,663,"Lollicup C-KRC508 Karat Ripple Paper Hot Cup, 8 oz, Kraft (Case of 500)",Home & Kitchen > Paper & Plastic > Cups & Straws
90,663,"dixie bathroom cups, 3 oz 200 ea",Home & Kitchen > Paper & Plastic > Cups & Straws
91,663,"dixie - perfectouch, insulated paper hot cup, 16 oz., coffee haze design - 140 cups",Home & Kitchen > Paper & Plastic > Cups & Straws
92,663,Zappy Elegant Tall Square Mini Cube 3oz Clear Plastic Tasting / Sample Shot Glasses Parfait / Souffle Jello Dessert,Home & Kitchen > Paper & Plastic > Cups & Straws
93,663,"Medline NON024215 Disposable Paper Souffle Cup, 0.75 oz (Pack of 5000)",Home & Kitchen > Paper & Plastic > Cups & Straws
94,663,sipsticks paper drinking straws biodegradable 50 pack- red heart,Home & Kitchen > Paper & Plastic > Cups & Straws
95,663,crawfish styrofoam cups - boil time,Home & Kitchen > Paper & Plastic > Cups & Straws
